ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
11759,0,370,25.600000381469727,18.100000381469727,1.2799999713897705,13.979999542236328,-6.458333333333471,26.791666666666643
11760,0,1063,21.700000762939453,15.699999809265137,1.7899999618530273,14.359999656677246,21.375,-18.375
11761,0,281,27.700000762939453,11.399999618530273,14.130000114440918,11.899999618530273,-2.875000000000128,9.708333333333314
11762,0,456,24.600000381469727,16.5,19.760000228881836,12.979999542236328,-3.375000000000128,28.791666666666643
11763,0,1038,22.899999618530273,12.100000381469727,43.15999984741211,10.0600004196167,9.45833333333323,9.375
11764,0,71,26.399999618530273,9.699999809265137,1.6100000143051147,13.420000076293945,-61.95833333333357,-6.541666666666679
11765,0,16,25.899999618530273,12,2.3399999141693115,13.489999771118164,-88.04166666666694,19.875
11766,0,130,16.100000381469727,13.5,5.739999771118164,12.279999732971191,-94.45833333333363,35.375
11767,0,36,16,12.800000190734863,2.450000047683716,13.390000343322754,-78.62500000000026,34.95833333333331
11768,0,492,23.899999618530273,8.699999809265137,8.390000343322754,12.630000114440918,37.375,-9.458333333333343
11769,0,491,22.600000381469727,9.199999809265137,16.139999389648438,11.680000305175781,-36.041666666666856,-6.791666666666679
11770,0,552,24,12.899999618530273,23.969999313354492,11.520000457763672,-44.20833333333354,-14.625
11771,0,133,28.5,13.300000190734863,9.5,12.489999771118164,-11.791666666666814,13.625
11772,0,278,28.100000381469727,15.699999809265137,1.5700000524520874,13.869999885559082,16.125,17.375
11773,0,33,17.100000381469727,13,1.6299999952316284,13.550000190734863,-79.7083333333336,34.125
11774,0,592,26.799999237060547,15.699999809265137,4.039999961853027,13.65999984741211,9.374999999999886,17.125
11775,0,635,23.200000762939453,15.600000381469727,3.7899999618530273,13.670000076293945,16.875,22.875
11776,0,1743,13.600000381469727,15,23.229999542236328,10.65999984741211,28.708333333333258,-28.29166666666667
11777,0,397,27.100000381469727,15.600000381469727,2.440000057220459,13.75,16.541666666666572,18.375
11778,0,135,27.299999237060547,11.600000381469727,6.099999904632568,12.350000381469727,-65.95833333333357,4.54166666666665
11779,0,82,17.700000762939453,12.899999618530273,5.679999828338623,12.600000381469727,-90.29166666666696,32.54166666666664
11780,0,560,21.600000381469727,14.399999618530273,16.700000762939453,12.380000114440918,2.791666666666544,31.791666666666643
11781,0,559,24.100000381469727,14.800000190734863,33.2599983215332,10.970000267028809,-44.8750000000002,-11.791666666666679
11782,0,150,16.299999237060547,13.399999618530273,6.550000190734863,12.180000305175781,-94.95833333333363,35.375
11783,0,276,28.600000381469727,18.200000762939453,1.100000023841858,14.430000305175781,-3.875000000000128,19.208333333333314
11784,0,983,22.200000762939453,15.699999809265137,0.699999988079071,14.859999656677246,22.041666666666572,-19.04166666666667
11785,0,85,27,9.800000190734863,9.170000076293945,12.289999961853027,-43.54166666666687,-3.541666666666679
11786,0,176,26.799999237060547,9.199999809265137,8.270000457763672,12.260000228881836,-70.87500000000026,2.875
11787,0,1794,18.100000381469727,10.699999809265137,19.309999465942383,11.15999984741211,35.2916666666666,-4.291666666666679
11788,0,519,17.100000381469727,15.600000381469727,10.130000114440918,12.510000228881836,-100.1250000000003,33.45833333333331
11789,0,149,26.299999237060547,10.5,11.15999984741211,11.819999694824219,-58.70833333333356,-6.791666666666679
11790,0,11,14.399999618530273,12.699999809265137,4.949999809265137,12.34000015258789,-77.29166666666693,37.375
11791,0,466,28.200000762939453,15.600000381469727,5.880000114440918,13.329999923706055,7.708333333333229,17.04166666666665
11792,0,492,23.700000762939453,8.600000381469727,26.59000015258789,11.529999732971191,37.7916666666666,-9.208333333333343
11793,0,1267,19.200000762939453,14.300000190734863,7.650000095367432,12.789999961853027,27.375,-20.458333333333343
11794,0,526,9.300000190734863,8.600000381469727,32.63999938964844,10.300000190734863,5.624999999999886,46.541666666666636
11795,0,308,25.5,8.899999618530273,36.900001525878906,9.920000076293945,-2.708333333333456,6.208333333333321
11796,0,326,23.5,13.100000381469727,1.5199999809265137,14.09000015258789,-13.708333333333485,23.20833333333331
11797,0,294,28.700000762939453,17,3.0199999809265137,14.050000190734863,-6.291666666666799,21.125
11798,0,815,23.100000381469727,10.899999618530273,31.34000015258789,10.390000343322754,14.875,-7.958333333333343
11799,0,1052,21.600000381469727,15.899999618530273,1.4700000286102295,14.289999961853027,21.625,-16.29166666666667
11800,0,980,20.100000381469727,14.399999618530273,20.920000076293945,10.239999771118164,-101.8750000000003,27.70833333333331
11801,0,736,26.100000381469727,13.399999618530273,17.889999389648438,11.449999809265137,31.375,4.04166666666665
11802,0,750,25.600000381469727,15.199999809265137,12.100000381469727,11.699999809265137,8.45833333333323,20.291666666666647
11803,0,266,28.399999618530273,15.699999809265137,1.0299999713897705,14.3100004196167,-2.791666666666799,16.875
11804,0,277,13.100000381469727,8,69.69999694824219,9.050000190734863,12.791666666666572,43.7083333333333
11805,0,1378,13.300000190734863,13.399999618530273,59.77000045776367,9.15999984741211,26.7916666666666,-32.45833333333333
11806,0,926,22.100000381469727,13.899999618530273,3.1500000953674316,12.869999885559082,18.291666666666572,-9.791666666666679
11807,0,254,25.799999237060547,11.899999618530273,15.880000114440918,11.449999809265137,-46.95833333333354,-5.125
11808,0,463,26.899999618530273,14.800000190734863,39.56999969482422,10.210000038146973,-8.5416666666668,12.625
11809,0,983,21.200000762939453,16.299999237060547,1.4700000286102295,15.420000076293945,23.791666666666572,-22.208333333333343
11810,0,210,25.600000381469727,10.100000381469727,5.78000020980835,12.600000381469727,-72.45833333333358,-6.625
